sid,family_id,class_name,y,exec_bytes,first_stop_offset,region_bytes,near_empty,whole_body,no_stop,stop_at_final_byte,feature_nnz,feature_l1,features_finite,oof_score_first_stop_full
ethereum:0x1fb8798a56453ab895ab90e3794d990bd5fb29b7,F01074,benign_cleared,0,1744,65.0,66,False,False,False,False,67,140.18783569335938,True,0.00012589005928020924
ethereum:0xcfa266ba068949897ff191ddebd997e0aa9b5f92,F00978,benign_cleared,0,1695,40.0,41,False,False,False,False,44,86.15833282470703,True,0.0001539416698506102
ethereum:0x184fdb5e945ba6a8080771ebb6c9aec6bb33c943,F01111,benign_cleared,0,13,12.0,13,True,True,False,True,18,32.29999923706055,True,3.6346584238344803e-05
ethereum:0xd37eea0dd89b0254ed655a167f3a58d74dff5315,F01112,benign_cleared,0,2984,83.0,84,False,False,False,False,48,169.7620391845703,True,0.00017325776570942253
ethereum:0x7bcf6a66f402c50a39c80af44008e39b8e87d804,F01113,benign_cleared,0,4742,194.0,195,False,False,False,False,71,387.9300231933594,True,0.004194102715700865
ethereum:0x504818b4ed988f9245c0acc7d93515ac9d5ab81c,F01114,benign_cleared,0,131,69.0,70,False,False,False,False,74,133.0664520263672,True,0.0013639838434755802
ethereum:0x95e951762cf590032cdbb9fb8c617dcaf6293530,F01116,benign_cleared,0,2877,62.0,63,False,False,False,False,47,129.5126190185547,True,0.00017772987484931946
ethereum:0xa48e75724a0301bb1471fbfd892dfa5321fe574f,F01108,benign_cleared,0,7796,489.0,490,False,False,False,False,146,819.1177368164062,True,0.1798897534608841
ethereum:0xe0a4288457904e01c521f028954b917f51b82eb6,F01117,benign_cleared,0,219,35.0,36,False,False,False,False,46,79.73500061035156,True,5.386896009440534e-05
ethereum:0x63febfcbe6efe2843a6c87566fa82602b38aaada,F00018,benign_cleared,0,4811,205.0,206,False,False,False,False,94,417.4432373046875,True,8.971671195467934e-05
ethereum:0xfdbfcbfbcf2d717d2339cb230e83c91dfe86b0d4,F01118,benign_cleared,0,1026,35.0,36,False,False,False,False,43,77.20453643798828,True,0.0005273514543659985
ethereum:0x2cd704c914325eb4d634ce1dff0e1d543a6cb794,F00884,benign_cleared,0,1747,94.0,95,False,False,False,False,81,197.4254913330078,True,0.0002936484816018492
ethereum:0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,F01119,benign_cleared,0,3703,679.0,680,False,False,False,False,212,1365.2520751953125,True,0.002372653456404805
ethereum:0xab42295e61ed2d0257e0fb2896ccf4ae0c805f73,F01120,benign_cleared,0,2217,108.0,109,False,False,False,False,79,223.4154052734375,True,0.000125748963910155
ethereum:0x9bcc8e79e5d3ce1572187a1d393a6adcf81b94ac,F00834,benign_cleared,0,5260,94.0,95,False,False,False,False,47,189.82923889160156,True,7.075151370372623e-05
ethereum:0xd466e0ee57d41cbf6f480039da5515aea23867b1,F00038,benign_cleared,0,3171,82.0,83,False,False,False,False,70,171.46249389648438,True,0.0001504015235695988
ethereum:0x90ad9656d0efb596aba83f973550c579be828155,F00689,benign_cleared,0,2406,,2406,False,True,True,False,461,4689.86328125,True,0.00018850354535970837
ethereum:0xe9228a156fa40579eaed989f2288fb8105adf194,F01062,benign_cleared,0,3347,205.0,206,False,False,False,False,94,417.4432373046875,True,0.0002711822744458914
ethereum:0xcdd998cc3fb99c44f46b5ed383b70b7dd9087c45,F01026,benign_cleared,0,2370,117.0,118,False,False,False,False,81,242.49368286132812,True,0.00012398949183989316
ethereum:0x743415027f6b9032364c2fac59541178ff071d88,F00775,benign_cleared,0,2529,,2529,False,True,True,False,460,4929.65771484375,True,4.2573716200422496e-05
