item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0x6b9c0e61bc7f5e2a477387ed03a1de3d16efd95f,D0061,1,0x623882d6e42a9189df515d7d67e233dc04b501ef,0x6b0db1b15ac198bc9fa147f0edd335b2ef9e90f9,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x6f00e926ccdd2b2f48474b5ac91e6475034fd856,D0062,1,0x16be6ba639bd784c19a315be557089ec78ffb34a,0xa3a041f3997b1f9206406242e91f435b48ad0bc2,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x6f12031bc579ffc760493b0ef5788c2f321ef396,D0039,4,0xe9a55560420768efe6ad8286ce81d3a072f39663,0xbd43bd6b25e80310869a56d4e395026b8256dd2a,EOA,SHARED_DEPLOYER_EOA
ethereum:0x7031df1a3861a5e8bfe4df237fbcc8b0feb7e539,D0063,1,0x4f04944d5dc7504a13b777ca03023b83a945e3f7,0xec8acd2536dc8a0364ab14e686f0d975ce6ca4d9,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x70f8364a39c86332a2b1b6785d0214acdef58f20,D0064,3,0x5ac8f5935c7185fa95539e354ee0b417333f0446,0xe324c63fdb51f7d597ff68d92bec74fa054ee128,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
ethereum:0x77f64403a328ffd675bc12e18bff559242a7f510,D0065,1,0x237b5431e14834ea9b54b92ac95f8b0d98a0c4e4,0xa61919b4591110c344b3c7fb231dcb4e2df10e8a,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x781e91ee7512859559c7309b84e24a9b765858a5,D0066,1,0x4d5eb823f8ed0e2a34c649f75de05c65f0d39a9e,0x4ea3e98983497329a8be8d50d2d7e0946102f863,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x7cd3717264da69a9472d8cd2580e124a57982754,D0067,1,0xa49f297e1157d7a221e8a1b1dd2a436a999da983,0x0083022683e56a51ef1199573411ba6c2ab60000,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x812b5afc0dd3761b65fd5eea6aed59c4e571631f,D0068,1,0xff710bf860e6d8e4a2b1e2023c1283e890017cdb,0x62b397afd9dfb2166c57323fa3bbeaaceecb3460,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x82731f38de17189c0bcae81e1ca4d6cf7dab3315,D0069,1,0x32b7979a363ea4f44aaa911ed71312b4c95ee86c,0xed85346a1057f234a94282a839fe97365088d440,EOA,SINGLETON_NO_MUST_LINK
