model,sample_id,clean_token_count,flood200_token_count,budget,exceeds_budget
flat_cnn_2048,arbitrum:0x4ce44e0e64a504febd49eb2b95463a7fe4868048,1930,6080,2048,True
flat_cnn_2048,arbitrum:0xc936a00c84bd6c45490c5f3f7411a6e129b826ac,1921,6130,2048,True
flat_cnn_2048,arbitrum:0x0e67c1d992e0325fc0cb024bf72f97112ac00d06,1680,3992,2048,True
flat_cnn_2048,arbitrum:0x5629d61461b2dca215da8ffe8f87661ba971719a,2860,8021,2048,True
flat_cnn_2048,arbitrum:0x08fb273f0ac9204a2590ce884d530a15e4d48567,2858,9413,2048,True
flat_cnn_2048,arbitrum:0x6ef6ed470ab2ded2d31bd2cf02f6388d2538f660,2085,4454,2048,True
flat_cnn_2048,arbitrum:0x9dbafa2b77b8d24a834a2464af8f036c8a1d40cd,264,852,2048,False
flat_cnn_2048,arbitrum:0x215f70b5f69f48e671536891cdfe32076d1e45d9,2158,5772,2048,True
flat_cnn_2048,arbitrum:0xab747decdd1c51c3abea8a8c91ea4e4a089abe8e,3802,10949,2048,True
flat_cnn_2048,arbitrum:0x961a25df588ce55ce971fdc380915424ba04cc71,583,1966,2048,False
flat_cnn_2048,arbitrum:0x154cfc67e96bf5203f872e3b66b449101d984bdf,2076,5863,2048,True
flat_cnn_2048,arbitrum:0xe6cae83bde06e4c305530e199d7217f42808555b,1467,5786,2048,True
flat_cnn_2048,arbitrum:0x4010bd8620d6a8343ec6389e53b4d91fc81ed53b,2259,5833,2048,True
flat_cnn_2048,arbitrum:0x7369c010fa37faa73adb75dede2d36e9dd09cdbe,1767,4613,2048,True
flat_cnn_2048,base:0x1814b959a5fd9aa261698c3c214a7a7e9cf86535,1273,3413,2048,True
flat_cnn_2048,base:0xe645dfe1629b2a80cbfcfe71c17578843d78ebc2,1977,6417,2048,True
flat_cnn_2048,base:0x155e76f6039eec4280aa3d525d074c58b2a86d31,1934,5611,2048,True
flat_cnn_2048,base:0x81efc9c095d2d98be4c987003f781e2100301cec,3251,10471,2048,True
flat_cnn_2048,base:0x664ab8c20b629422f5398e58ff8989e68b26a4e6,246,739,2048,False
flat_cnn_2048,base:0xab8d6b1426c77f5d624d20decc0304b2ef50aefc,2011,5623,2048,True
flat_cnn_2048,base:0xc4d8e0a7b6f8189ecde2da2fe1f7af4cdfcc42b6,5989,18492,2048,True
flat_cnn_2048,base:0xac7703eea45a2f81ee37f38f75da5dc78f20896e,5372,19690,2048,True
flat_cnn_2048,base:0xf339682553816978d4e849592215008404d6304f,2100,6505,2048,True
flat_cnn_2048,base:0xe6110f19ff2d645699047721cd391f174d846f61,1406,4358,2048,True
flat_cnn_2048,base:0xb7f3e67518adc63a1dd037c6e40ae469b176dbb1,4,14,2048,False
flat_cnn_2048,base:0xc780a048b13222d36fe944c079bb6bed8c19a61f,556,1400,2048,False
flat_cnn_2048,base:0xbb2682e3a95df44f0b6faad5b28f032b5d64bd0a,2120,5802,2048,True
flat_cnn_2048,base:0x3ebdaf076ddbeb9887dc8fed81729ef9697d25a2,550,1654,2048,False
flat_cnn_2048,base:0x2337fbb0560f68be0f5046e093a0eaa29d4432ec,3802,11566,2048,True
flat_cnn_2048,base:0x8db730eae0b0da151d9352ba5d417d7795e569cc,1934,4673,2048,True
flat_cnn_2048,base:0xc366e7d803ab2cd36a3691d32bcd3d294adbdbaa,688,2361,2048,True
flat_cnn_2048,base:0x0b3df87b55b46736a0ec524f70aaa1998cbfb3c5,2029,5889,2048,True
flat_cnn_2048,base:0xc4f238cedc1f77a0fe36f60ecedef14336e4efbe,1145,2354,2048,True
flat_cnn_2048,base:0x4cd241e8d1510e30b2076397afc7508ae59c66c9,1459,6142,2048,True
