task,model,seed,fold,threshold,splitter,split
primary,selector_model,7702,1,0.11769843101501465,StratifiedGroupKFold,random
primary,selector_model,7702,2,0.28440600633621216,StratifiedGroupKFold,random
primary,selector_model,7702,3,0.20537708699703217,StratifiedGroupKFold,random
primary,selector_model,7702,4,0.2530590891838074,StratifiedGroupKFold,random
primary,selector_model,7703,0,0.1821717768907547,StratifiedGroupKFold,random
primary,selector_model,7703,1,0.30518966913223267,StratifiedGroupKFold,random
primary,selector_model,7703,2,0.2868894338607788,StratifiedGroupKFold,random
primary,selector_model,7703,3,0.12670445442199707,StratifiedGroupKFold,random
primary,selector_model,7703,4,0.11057183891534805,StratifiedGroupKFold,random
primary,selector_model,7704,0,0.09899014979600906,StratifiedGroupKFold,random
primary,selector_model,7704,1,0.2793672978878021,StratifiedGroupKFold,random
primary,selector_model,7704,2,0.29663270711898804,StratifiedGroupKFold,random
primary,selector_model,7704,3,0.1025332659482956,StratifiedGroupKFold,random
primary,selector_model,7704,4,0.11655669659376144,StratifiedGroupKFold,random
primary,selector_model,7705,0,0.11061103641986847,StratifiedGroupKFold,random
primary,selector_model,7705,1,0.30931612849235535,StratifiedGroupKFold,random
primary,selector_model,7705,2,0.28614798188209534,StratifiedGroupKFold,random
primary,selector_model,7705,3,0.07622388750314713,StratifiedGroupKFold,random
primary,selector_model,7705,4,0.110020212829113,StratifiedGroupKFold,random
primary,selector_model,7706,0,0.1482856422662735,StratifiedGroupKFold,random
primary,selector_model,7706,1,0.2951706349849701,StratifiedGroupKFold,random
primary,selector_model,7706,2,0.2665349543094635,StratifiedGroupKFold,random
primary,selector_model,7706,3,0.12009167671203613,StratifiedGroupKFold,random
primary,selector_model,7706,4,0.2761382460594177,StratifiedGroupKFold,random
primary,authguard,7702,0,0.08407077193260193,StratifiedGroupKFold,random
primary,authguard,7702,1,0.10738296061754227,StratifiedGroupKFold,random
primary,authguard,7702,2,0.3017103970050812,StratifiedGroupKFold,random
primary,authguard,7702,3,0.1799294501543045,StratifiedGroupKFold,random
primary,authguard,7702,4,0.15625488758087158,StratifiedGroupKFold,random
primary,authguard,7703,0,0.10207133740186691,StratifiedGroupKFold,random
primary,authguard,7703,1,0.13341161608695984,StratifiedGroupKFold,random
primary,authguard,7703,2,0.18572966754436493,StratifiedGroupKFold,random
primary,authguard,7703,3,0.054468777030706406,StratifiedGroupKFold,random
primary,authguard,7703,4,0.2494422197341919,StratifiedGroupKFold,random
primary,authguard,7704,0,0.2227531224489212,StratifiedGroupKFold,random
primary,authguard,7704,1,0.12018106877803802,StratifiedGroupKFold,random
primary,authguard,7704,2,0.322483628988266,StratifiedGroupKFold,random
primary,authguard,7704,3,0.10595852136611938,StratifiedGroupKFold,random
primary,authguard,7704,4,0.10804715007543564,StratifiedGroupKFold,random
primary,authguard,7705,0,0.11470302939414978,StratifiedGroupKFold,random
primary,authguard,7705,1,0.12521860003471375,StratifiedGroupKFold,random
primary,authguard,7705,2,0.34922364354133606,StratifiedGroupKFold,random
primary,authguard,7705,3,0.19967611134052277,StratifiedGroupKFold,random
primary,authguard,7705,4,0.1627134084701538,StratifiedGroupKFold,random
primary,authguard,7706,0,0.19002388417720795,StratifiedGroupKFold,random
primary,authguard,7706,1,0.08431209623813629,StratifiedGroupKFold,random
primary,authguard,7706,2,0.19982147216796875,StratifiedGroupKFold,random
