sid,method,sequence,preservation_oriented,calldata,comparable,behavior_equivalent,structural_valid,byte_overhead,same_failed,same_return,same_calls,same_call_count,same_sstore,same_logs,same_opcount
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,random_search,flood200+selector,False,2e1a7d4d,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,random_search,flood200+selector,False,32fe7b26,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,random_search,flood200+selector,False,3ccfd60b,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,random_search,flood200+selector,False,3fc8cef3,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,random_search,flood200+selector,False,414bf389,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,,True,False,True,1.9893858984078847,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,00000000,True,False,True,1.9893858984078847,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,095ea7b3,True,False,True,1.9893858984078847,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,1d073a7a,True,False,True,1.9893858984078847,True,False,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,2be11ae2,True,False,True,1.9893858984078847,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,2e1a7d4d,True,False,True,1.9893858984078847,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,32fe7b26,True,False,True,1.9893858984078847,True,False,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,3ccfd60b,True,False,True,1.9893858984078847,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,3fc8cef3,True,False,True,1.9893858984078847,True,False,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,beam_search,flood200+address+metadata,False,414bf389,True,False,True,1.9893858984078847,True,True,False,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,00000000,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,095ea7b3,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,1d073a7a,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,2be11ae2,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,2e1a7d4d,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,32fe7b26,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,3ccfd60b,True,True,True,0.0,True,True,True,True,True,True,True
ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,M1,M1,True,3fc8cef3,True,True,True,0.0,True,True,True,True,True,True,True
