model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
hist_ngram_xgb,7704,1,1.6430656909942627,,0.8481407372688261,0.3325470684940041,0.19110570548033987,0.8487674321672588,0.9175114155251142,0.1100174081533687,0.3835616438356164,0.016666666666666666,0.7328767123287672,0.08666666666666667,0.8698630136986302,0.15333333333333332
dense_only,7704,1,2.342540979385376,0.8425978140956746,0.8892788511526621,0.7805612048550328,0.6332722528138978,0.6409566842309532,0.8078310502283105,0.16800636783532932,0.14383561643835616,0.05,0.3767123287671233,0.08333333333333333,0.5136986301369864,0.12
ngram_only,7704,1,1.6357370615005493,0.9256443370652847,0.9289194243079747,0.42880336213369485,0.05124052036961356,0.7812882275447506,0.8910045662100456,0.14965140788647346,0.136986301369863,0.013333333333333334,0.5821917808219178,0.056666666666666664,0.8082191780821918,0.20333333333333334
flat_cnn,7704,1,2.0868492126464844,0.9395682094069705,0.7797245458300852,0.23684790800142624,0.13076049357836134,0.9058882847493847,0.95162100456621,0.08327375742608759,0.5205479452054794,0.013333333333333334,0.8493150684931506,0.09333333333333334,0.8904109589041096,0.18666666666666668
bigru,7704,1,2.800031900405884,0.7974773057325907,0.9262949813793357,0.7168855490021293,0.5306780604964807,0.7773645380536498,0.8628538812785388,0.1308201839470637,0.1232876712328767,0.01,0.4931506849315068,0.03666666666666667,0.6164383561643836,0.08333333333333333
transformer,7704,1,7.443192958831787,0.5008899591964348,0.7456661497192254,0.6217542106805238,0.5615711539358058,0.6586864216022463,0.7517808219178083,0.18792124159760235,0.03424657534246575,0.0,0.2054794520547945,0.013333333333333334,0.3767123287671233,0.06333333333333334
authguard_seq,7704,1,2.4820804595947266,0.9406445942274737,0.819007843520557,0.09110989075008553,0.06591183817491861,0.9565008284364239,0.9839726027397261,0.05072848745000989,0.3561643835616438,0.0033333333333333335,0.958904109589041,0.056666666666666664,0.9726027397260274,0.11333333333333333
hist_ngram_xgb,7704,2,1.1785304546356201,,0.8912988246065189,0.40166170286892633,0.40166170286892633,0.8805628617253134,0.9353876253362681,0.11640303455782812,0.38620689655172413,0.010638297872340425,0.6896551724137931,0.0673758865248227,0.6896551724137931,0.0673758865248227
dense_only,7704,2,3.5049023628234863,0.6646460687072662,0.8761806502133067,0.8017988888396587,0.8017988888396587,0.6403751000638167,0.820200538028858,0.19275290575884646,0.1310344827586207,0.02127659574468085,0.5172413793103449,0.11347517730496454,0.5172413793103449,0.11347517730496454
ngram_only,7704,2,2.1632323265075684,0.8177469130467493,0.9323146837966819,0.5541594355897359,0.4603683053581694,0.8635561454004752,0.9503301540719001,0.06733119447603843,0.13793103448275862,0.0070921985815602835,0.9103448275862069,0.05673758865248227,0.9103448275862069,0.05673758865248227
flat_cnn,7704,2,1.4896453619003296,0.9354225415216195,0.9614128461566607,0.761712117166335,0.34205123128070863,0.9343759994184053,0.964954756664221,0.06985843001992648,0.593103448275862,0.01773049645390071,0.896551724137931,0.06382978723404255,0.9448275862068966,0.1276595744680851
