model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
chunk_mean_control_16384,7702,2,F200,source_le_2048,243,65,0.8048057372167771,0.8877268798617113
chunk_mean_control_16384,7702,2,M0,source_gt_2048,184,80,0.8664516325843108,0.8962740384615385
chunk_mean_control_16384,7702,2,M0,source_le_2048,243,65,0.9528496189097251,0.9635263612791704
chunk_mean_control_16384,7702,3,F200,source_gt_2048,139,32,0.740341843530468,0.9065420560747663
chunk_mean_control_16384,7702,3,F200,source_le_2048,308,61,0.6433250284100729,0.8559102674719586
chunk_mean_control_16384,7702,3,M0,source_gt_2048,139,32,0.8962127385820908,0.9702102803738318
chunk_mean_control_16384,7702,3,M0,source_le_2048,308,61,0.9526208731247952,0.970597995619566
chunk_mean_control_16384,7702,4,F200,source_gt_2048,131,36,0.6781192244256885,0.8432748538011696
chunk_mean_control_16384,7702,4,F200,source_le_2048,293,155,0.8704032377658519,0.8857410004675083
chunk_mean_control_16384,7702,4,M0,source_gt_2048,131,36,0.837537068196281,0.9673976608187135
chunk_mean_control_16384,7702,4,M0,source_le_2048,293,155,0.9579890977164434,0.964866760168303
chunk_mean_control_16384,7703,0,F200,source_gt_2048,97,20,0.5144004000565721,0.8331168831168831
chunk_mean_control_16384,7703,0,F200,source_le_2048,349,132,0.7360220803707933,0.7681189777963973
chunk_mean_control_16384,7703,0,M0,source_gt_2048,97,20,0.736099122827064,0.9337662337662338
chunk_mean_control_16384,7703,0,M0,source_le_2048,349,132,0.733120038550655,0.6997800586510263
chunk_mean_control_16384,7703,1,F200,source_gt_2048,161,47,0.6518640171700191,0.8212019410227696
chunk_mean_control_16384,7703,1,F200,source_le_2048,285,99,0.7610858744523306,0.8610839578581513
chunk_mean_control_16384,7703,1,M0,source_gt_2048,161,47,0.9675545773416836,0.9901082493467712
chunk_mean_control_16384,7703,1,M0,source_le_2048,285,99,0.9074636457094792,0.9641577060931901
chunk_mean_control_16384,7703,2,F200,source_gt_2048,184,80,0.7242981818890003,0.7799278846153845
chunk_mean_control_16384,7703,2,F200,source_le_2048,243,65,0.7826396240522918,0.8875540190146931
chunk_mean_control_16384,7703,2,M0,source_gt_2048,184,80,0.8556099781017514,0.908173076923077
chunk_mean_control_16384,7703,2,M0,source_le_2048,243,65,0.8900339494014798,0.9497839239412273
chunk_mean_control_16384,7703,3,F200,source_gt_2048,139,32,0.7498767105362774,0.8712032710280374
chunk_mean_control_16384,7703,3,F200,source_le_2048,308,61,0.77638934336739,0.8768168845821995
chunk_mean_control_16384,7703,3,M0,source_gt_2048,139,32,0.9491005823915738,0.9886098130841121
chunk_mean_control_16384,7703,3,M0,source_le_2048,308,61,0.9717950219653795,0.9822127829030332
chunk_mean_control_16384,7703,4,F200,source_gt_2048,131,36,0.6546005897998606,0.8257309941520468
chunk_mean_control_16384,7703,4,F200,source_le_2048,293,155,0.8785527772961411,0.8972417017297802
chunk_mean_control_16384,7703,4,M0,source_gt_2048,131,36,0.8995094292727159,0.9758771929824562
chunk_mean_control_16384,7703,4,M0,source_le_2048,293,155,0.9772132815315887,0.9775829827021972
chunk_mean_control_16384,7704,0,F200,source_gt_2048,97,20,0.6519768596885678,0.8519480519480519
chunk_mean_control_16384,7704,0,F200,source_le_2048,349,132,0.6561338012164742,0.7026602429828235
chunk_mean_control_16384,7704,0,M0,source_gt_2048,97,20,0.8872621847835538,0.9720779220779221
chunk_mean_control_16384,7704,0,M0,source_le_2048,349,132,0.736117765241153,0.6761101801424382
chunk_mean_control_16384,7704,1,F200,source_gt_2048,161,47,0.6693687016290347,0.8351997013811123
chunk_mean_control_16384,7704,1,F200,source_le_2048,285,99,0.7544158256101775,0.8628217660475725
