fold,seed,model,condition,AUPRC,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
2,7704,clean,adaptive_transfer,0.3107816624870524,0.0,0.006369426751592357,0.034482758620689655,0.041401273885350316,0.06896551724137931,0.09554140127388536
2,7704,ordinary_aug,cleanM0,0.8092747484053735,0.32413793103448274,0.006369426751592357,0.6275862068965518,0.12420382165605096,0.6896551724137931,0.1942675159235669
2,7704,ordinary_aug,F200,0.7056065502847417,0.6068965517241379,0.12101910828025478,0.9103448275862069,0.46496815286624205,0.9655172413793104,0.6528662420382165
2,7704,ordinary_aug,M3F200,0.6855931988675856,0.6275862068965518,0.21019108280254778,0.9448275862068966,0.5382165605095541,0.9862068965517241,0.7229299363057324
2,7704,ordinary_aug,adaptive_transfer,0.906240990137026,0.38620689655172413,0.006369426751592357,0.8689655172413793,0.12420382165605096,0.9724137931034482,0.1942675159235669
2,7704,source_balanced_aug,cleanM0,0.898902398127315,0.3724137931034483,0.0031847133757961785,0.7379310344827587,0.07643312101910828,0.7448275862068966,0.07961783439490445
2,7704,source_balanced_aug,F200,0.7884647111220974,0.034482758620689655,0.0,0.3793103448275862,0.03821656050955414,0.496551724137931,0.050955414012738856
2,7704,source_balanced_aug,M3F200,0.7795785035121946,0.027586206896551724,0.0,0.35172413793103446,0.03821656050955414,0.41379310344827586,0.054140127388535034
2,7704,source_balanced_aug,adaptive_transfer,0.5952270152485234,0.027586206896551724,0.0031847133757961785,0.1724137931034483,0.07643312101910828,0.21379310344827587,0.07961783439490445
2,7704,tc_hard,cleanM0,0.8818013824112099,0.3724137931034483,0.022292993630573247,0.9103448275862069,0.07961783439490445,0.9586206896551724,0.1464968152866242
2,7704,tc_hard,F200,0.7116131305506982,0.30344827586206896,0.050955414012738856,0.6758620689655173,0.1751592356687898,0.8758620689655172,0.3248407643312102
2,7704,tc_hard,M3F200,0.6193570974109939,0.2206896551724138,0.03503184713375796,0.6,0.2229299363057325,0.7862068965517242,0.4012738853503185
2,7704,tc_hard,adaptive_transfer,0.8395792751708459,0.31724137931034485,0.022292993630573247,0.7448275862068966,0.07961783439490445,0.9310344827586207,0.1464968152866242
3,7702,clean,cleanM0,0.7567001616874557,0.0967741935483871,0.002717391304347826,0.44086021505376344,0.021739130434782608,0.7204301075268817,0.10597826086956522
3,7702,clean,F200,0.5102609751476312,0.0,0.0,0.07526881720430108,0.0,0.1935483870967742,0.04076086956521739
3,7702,clean,M3F200,0.4378937786917998,0.0,0.0,0.03225806451612903,0.01358695652173913,0.21505376344086022,0.04619565217391304
3,7702,clean,adaptive_transfer,0.22531333736815298,0.0,0.002717391304347826,0.010752688172043012,0.021739130434782608,0.03225806451612903,0.10597826086956522
3,7702,ordinary_aug,cleanM0,0.7981087806977041,0.24731182795698925,0.008152173913043478,0.5376344086021505,0.04619565217391304,0.8817204301075269,0.10054347826086957
3,7702,ordinary_aug,F200,0.5072894724805872,0.6344086021505376,0.23097826086956522,0.9247311827956989,0.5597826086956522,0.9354838709677419,0.7391304347826086
3,7702,ordinary_aug,M3F200,0.44643115316070714,0.6881720430107527,0.296195652173913,0.946236559139785,0.6304347826086957,1.0,0.8097826086956522
3,7702,ordinary_aug,adaptive_transfer,0.8379704101696989,0.3225806451612903,0.008152173913043478,0.6989247311827957,0.04619565217391304,0.8602150537634409,0.10054347826086957
3,7702,source_balanced_aug,cleanM0,0.8720402368613964,0.1827956989247312,0.005434782608695652,0.4946236559139785,0.016304347826086956,0.9032258064516129,0.04891304347826087
3,7702,source_balanced_aug,F200,0.6465117831530818,0.021505376344086023,0.0,0.22580645161290322,0.021739130434782608,0.5268817204301075,0.07065217391304347
3,7702,source_balanced_aug,M3F200,0.5981330812674316,0.0,0.0,0.13978494623655913,0.021739130434782608,0.5483870967741935,0.07880434782608696
3,7702,source_balanced_aug,adaptive_transfer,0.5774670485485963,0.0,0.005434782608695652,0.13978494623655913,0.016304347826086956,0.43010752688172044,0.04891304347826087
3,7702,tc_hard,cleanM0,0.7916808567314163,0.3010752688172043,0.010869565217391304,0.43010752688172044,0.019021739130434784,0.5591397849462365,0.043478260869565216
3,7702,tc_hard,F200,0.4746657943012625,0.06451612903225806,0.010869565217391304,0.23655913978494625,0.035326086956521736,0.46236559139784944,0.14945652173913043
3,7702,tc_hard,M3F200,0.46577641968140265,0.08602150537634409,0.008152173913043478,0.16129032258064516,0.03260869565217391,0.45161290322580644,0.15489130434782608
3,7702,tc_hard,adaptive_transfer,0.7393570360540601,0.11827956989247312,0.010869565217391304,0.3010752688172043,0.019021739130434784,0.6666666666666666,0.043478260869565216
