original_index,chain,address,class,family_id,designator_target_address,row_represents,target_runtime_in_repository,repository_target_row_count,repository_runtime_row_count,target_runtime_appears_elsewhere_in_dataset,target_runtime_elsewhere_row_count,target_runtime_elsewhere_families,read_only_rpc_status,read_only_rpc_kind,runtime_recovery_source,recovered_runtime_sha256,recovered_runtime_bytes,task_alignment_decision
2869,bnb,0x0000c6954c99a7683541ee88469454b1304eead3,benign_cleared,F01202,0x0f4369ec3cbab9724baf110f1e21b9fc5c4351ed,delegating_account,True,1,1,True,1,F01168,ok,runtime,repository_dataset_target_row,6f20fe335421ce0269ce7af162de7410a1bb1059f416ae91d5368cd718969204,2129,exclude_recovered_cross_family_exact_duplicate
2887,bnb,0xc227e0b300645d5500d82933ac968ee486de039a,benign_cleared,F01207,0xc227e0b300645d5500d82933ac968ee486de039a,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2891,bnb,0xaf930ada22127630a365217c38b1420090acbf89,benign_cleared,F01209,0xaf930ada22127630a365217c38b1420090acbf89,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2910,bnb,0x195c72b863c3f977ed12aa56303983417d15ddb7,benign_cleared,F01174,0xbc5bc1febf6b5a50b08f0a72874cfd4baf9db065,delegating_account,True,1,1,True,3,F00664,ok,runtime,repository_dataset_target_row,3614b18e789ba5f6b37b31c3f25c006250abb748e9528092c33caeb65f93f1ae,2443,exclude_recovered_cross_family_exact_duplicate
2916,bnb,0x0ef19cd6364ff043ae685a267d6e90b73a095582,benign_cleared,F01217,0x0ef19cd6364ff043ae685a267d6e90b73a095582,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2971,bnb,0x680a7a91059fdd81b4e06f2ec2a9a01f63348821,benign_cleared,F01239,0xff02c0c9644e519256b0e03e19f41793e9c0624f,delegating_account,True,1,1,True,3,F00031,ok,runtime,repository_dataset_target_row,ea718ab8e5385ee073ae37360089288e323a5ab2789068d7910c88c20bab2755,3452,exclude_recovered_cross_family_exact_duplicate
2973,bnb,0x775f00a65daa0c1275ee774ccecd3df0a8c9aa00,benign_cleared,F00868,0x775f00a65daa0c1275ee774ccecd3df0a8c9aa00,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2985,bnb,0x66696b529f85a509cfc846294420d9280c1372c5,benign_cleared,F01243,0x3ae1f70cf6da80955936f5599d103fcf62162d10,delegating_account,False,0,0,False,0,,ok,runtime,read_only_rpc_target_runtime,f0e727e93e20927b59b4c5b3761f88700930f22a23bf563bfe6e3cc4376c6a9c,7602,replace_and_retain_candidate
2989,bnb,0x3d9c98d0db21be3868b5e03a5972b4ac9a2ddf5a,benign_cleared,F01244,0x3d9c98d0db21be3868b5e03a5972b4ac9a2ddf5a,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2992,bnb,0x6ec4109b9f8d36e433892a9ec9a3b54044b0e050,benign_cleared,F01246,0x6ec4109b9f8d36e433892a9ec9a3b54044b0e050,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
