model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
bigru,7703,1,3.1843526363372803,0.8587074565686732,0.8271872258866771,0.5471305593713262,0.3936764485095693,0.7868570865385487,0.9009360730593609,0.1201453289707704,0.2191780821917808,0.0166666666666666,0.541095890410959,0.0566666666666666,0.7876712328767124,0.11
transformer,7703,1,4.963119983673096,0.6135310800170215,0.8299323144449336,0.7572715163832473,0.7247724446588175,0.5423394073328714,0.7131735159817352,0.1991254187005129,0.0136986301369863,0.0033333333333333,0.1506849315068493,0.04,0.2054794520547945,0.0466666666666666
authguard_seq,7703,1,1.5576764345169067,0.9336141916810408,0.9572550311801052,0.6967716060558016,0.1236071254989938,0.9270882378640608,0.965433789954338,0.0517427423177406,0.3493150684931507,0.01,0.9452054794520548,0.0533333333333333,0.952054794520548,0.13
hist_ngram_xgb,7703,2,1.222786784172058,,0.7772417189343714,0.4867169684066713,0.486444518688901,0.8591102857291191,0.9252384446074834,0.130811455324271,0.4275862068965517,0.0354609929078014,0.5310344827586206,0.0602836879432624,0.5310344827586206,0.0602836879432624
dense_only,7703,2,2.4515302181243896,0.6976985132760011,0.8371486341949191,0.8351627286496912,0.7474635698700354,0.644747095027087,0.7956224015651748,0.1889161406163559,0.1862068965517241,0.0390070921985815,0.193103448275862,0.0390070921985815,0.4275862068965517,0.0886524822695035
ngram_only,7703,2,1.6451600790023804,0.8463013458074222,0.967665255684789,0.8051021575543988,0.6604998279144825,0.9158443504574164,0.9627292736610418,0.071241206832796,0.1034482758620689,0.0,0.903448275862069,0.0567375886524822,0.9517241379310344,0.0780141843971631
flat_cnn,7703,2,1.6947627067565918,0.893291607799678,0.7382429229071552,0.3612168290608634,0.1703251418050853,0.9371074583864396,0.9626559060895084,0.083657092422169,0.4551724137931034,0.0070921985815602,0.7586206896551724,0.0496453900709219,0.9241379310344828,0.0992907801418439
bigru,7703,2,2.796125650405884,0.4411179741175349,0.5991236978096948,0.5906490016940596,0.5839312132749203,0.4096428654203297,0.589899730985571,0.2434952920958401,0.0344827586206896,0.0141843971631205,0.1448275862068965,0.0851063829787234,0.2,0.1808510638297872
transformer,7703,2,4.251064777374268,0.4757519734763878,0.8416076462902732,0.7872512743177147,0.71070300254635,0.4763893118259938,0.6079970652971386,0.2437911487703033,0.0482758620689655,0.0141843971631205,0.1655172413793103,0.0248226950354609,0.2275862068965517,0.0886524822695035
authguard_seq,7703,2,0.8450417518615723,0.9920706097888424,0.6816468354512873,0.1594649355800529,0.0150273385836636,0.9265115773715252,0.9742968941061384,0.0394290204778527,0.9517241379310344,0.0354609929078014,0.9586206896551724,0.0531914893617021,0.9724137931034482,0.2340425531914893
hist_ngram_xgb,7703,3,2.230961799621582,,0.9249866074224884,0.5650366961004483,0.4607324081774446,0.7909270514592457,0.9177145981410608,0.0879298754540858,0.032258064516129,0.0,0.5806451612903226,0.019774011299435,0.6774193548387096,0.0480225988700565
dense_only,7703,3,3.178792953491211,0.8799509453348527,0.9058047437118656,0.8698055895546448,0.6208409135223931,0.4940543622680324,0.8061174898244334,0.161983078134231,0.1182795698924731,0.0084745762711864,0.4516129032258064,0.1073446327683615,0.7096774193548387,0.1694915254237288
ngram_only,7703,3,3.804442644119263,0.8967358658129692,0.840177334897916,0.5932700775839782,0.3640539289729274,0.865238421532771,0.9654941984083591,0.07479885595795,0.3118279569892473,0.0084745762711864,0.7634408602150538,0.0423728813559322,0.946236559139785,0.135593220338983
flat_cnn,7703,3,1.6278351545333862,0.9546424903534116,0.9134404327367104,0.7756926871934712,0.4239666837097128,0.8296840517303544,0.9468136808213352,0.0752725220580058,0.3440860215053763,0.0056497175141242,0.4623655913978494,0.0282485875706214,0.8064516129032258,0.0734463276836158
bigru,7703,3,3.586974859237671,0.7206967037100527,0.8326847920183043,0.7822957975850703,0.7028537011211909,0.3930494833738043,0.7217362250167062,0.2125774923541566,0.075268817204301,0.0141242937853107,0.2150537634408602,0.135593220338983,0.4408602150537634,0.1779661016949152
transformer,7703,3,3.2587697505950928,0.813913056958267,0.8887970693864193,0.8148828046309042,0.7071236480050079,0.5363743302036319,0.8042646254784034,0.1551283064368608,0.021505376344086,0.0084745762711864,0.2365591397849462,0.0338983050847457,0.4946236559139785,0.0734463276836158
authguard_seq,7703,3,1.7255311012268066,0.986423480075748,0.9080248209217184,0.7173071421926007,0.0272564557003787,0.9535585043857348,0.9794362432416014,0.0204289605843263,0.7096774193548387,0.0056497175141242,0.946236559139785,0.0056497175141242,0.978494623655914,0.2090395480225988
hist_ngram_xgb,7703,4,3.596757173538208,,0.5850614882986067,0.3301195472698348,0.2959861776477048,0.8844764154832307,0.936453722220974,0.140122657317854,0.5235602094240838,0.0171673819742489,0.8586387434554974,0.1373390557939914,0.9057591623036648,0.1502145922746781
