0x11b0V0x11bfV0x11d5V0x1555V0x1e3	0x11b8B0x11bfB0x11d5B0x1555B0x1e3
0x11b4V0x11bfV0x11d5V0x1555V0x1e3	0x118fB0x11bfB0x11d5B0x1555B0x1e3
0x11dbV0x1562V0x1e3	0x11e3B0x1562B0x1e3
0x11cbV0x11d5V0x1562V0x1e3	0x11d2B0x11d5B0x1562B0x1e3
0x11c0V0x11d5V0x1562V0x1e3	0x11c8B0x11d5B0x1562B0x1e3
0x11b0V0x11bfV0x11d5V0x1562V0x1e3	0x11b8B0x11bfB0x11d5B0x1562B0x1e3
0x11b4V0x11bfV0x11d5V0x1562V0x1e3	0x118fB0x11bfB0x11d5B0x1562B0x1e3
0x15a0V0x20b	0x3de5B0x20b
0x15ceV0x20b	0x3e08B0x20b
0x1599V0x20b	0x15a5B0x20b
0x15a7V0x20b	0x15b2B0x20b
0x15c7V0x20b	0x15d3B0x20b
0x15d4V0x20b	0x15dfB0x20b
0x1205V0x15d3V0x20b	0x11e9B0x15d3B0x20b
0x1222V0x15d3V0x20b	0x11edB0x15d3B0x20b
0x123eV0x15d3V0x20b	0x11f1B0x15d3B0x20b
0x121bV0x15d3V0x20b	0x1227B0x15d3B0x20b
0x1237V0x15d3V0x20b	0x1243B0x15d3B0x20b
0x11feV0x15d3V0x20b	0x120aB0x15d3B0x20b
0x11dbV0x15a5V0x20b	0x11e3B0x15a5B0x20b
0x11cbV0x11d5V0x15a5V0x20b	0x11d2B0x11d5B0x15a5B0x20b
0x11c0V0x11d5V0x15a5V0x20b	0x11c8B0x11d5B0x15a5B0x20b
0x11b0V0x11bfV0x11d5V0x15a5V0x20b	0x11b8B0x11bfB0x11d5B0x15a5B0x20b
0x11b4V0x11bfV0x11d5V0x15a5V0x20b	0x118fB0x11bfB0x11d5B0x15a5B0x20b
0x15ffV0x233	0x3e2bB0x233
0x162dV0x233	0x3e4eB0x233
0x15f8V0x233	0x1604B0x233
0x1606V0x233	0x1611B0x233
0x1626V0x233	0x1632B0x233
0x1633V0x233	0x163eB0x233
0x1646V0x233	0x1651B0x233
0x1657V0x233	0x1662B0x233
0x1205V0x1632V0x233	0x11e9B0x1632B0x233
0x1222V0x1632V0x233	0x11edB0x1632B0x233
0x123eV0x1632V0x233	0x11f1B0x1632B0x233
0x121bV0x1632V0x233	0x1227B0x1632B0x233
0x1237V0x1632V0x233	0x1243B0x1632B0x233
0x11feV0x1632V0x233	0x120aB0x1632B0x233
0x11dbV0x1604V0x233	0x11e3B0x1604B0x233
0x11cbV0x11d5V0x1604V0x233	0x11d2B0x11d5B0x1604B0x233
0x11c0V0x11d5V0x1604V0x233	0x11c8B0x11d5B0x1604B0x233
0x11b0V0x11bfV0x11d5V0x1604V0x233	0x11b8B0x11bfB0x11d5B0x1604B0x233
0x11b4V0x11bfV0x11d5V0x1604V0x233	0x118fB0x11bfB0x11d5B0x1604B0x233
0x11dbV0x163eV0x233	0x11e3B0x163eB0x233
0x11cbV0x11d5V0x163eV0x233	0x11d2B0x11d5B0x163eB0x233
0x11c0V0x11d5V0x163eV0x233	0x11c8B0x11d5B0x163eB0x233
0x11b0V0x11bfV0x11d5V0x163eV0x233	0x11b8B0x11bfB0x11d5B0x163eB0x233
0x11b4V0x11bfV0x11d5V0x163eV0x233	0x118fB0x11bfB0x11d5B0x163eB0x233
0x11dbV0x1651V0x233	0x11e3B0x1651B0x233
0x11cbV0x11d5V0x1651V0x233	0x11d2B0x11d5B0x1651B0x233
0x11c0V0x11d5V0x1651V0x233	0x11c8B0x11d5B0x1651B0x233
0x11b0V0x11bfV0x11d5V0x1651V0x233	0x11b8B0x11bfB0x11d5B0x1651B0x233
0x11b4V0x11bfV0x11d5V0x1651V0x233	0x118fB0x11bfB0x11d5B0x1651B0x233
0xe8eV0x249	0xe96B0x249
0xefcV0x249	0xf05B0x249
0xf38V0x249	0xf40B0x249
0x1071V0x249	0x1079B0x249
0xe61V0x249	0xe9fB0x249
0xebdV0x249	0xec7B0x249
0xedcV0x249	0xf00B0x249
0xf0bV0x249	0xf49B0x249
0xf7aV0x249	0xf83B0x249
0xf93V0x249	0xf9eB0x249
0xfb9V0x249	0xfc2B0x249
0xff6V0x249	0x1000B0x249
0x1011V0x249	0x101cB0x249
0x1037V0x249	0x1040B0x249
0x1044V0x249	0x1082B0x249
0x1782V0xe65V0x249	0x178aB0xe65B0x249
0x1786V0xe65V0x249	0x1751B0xe65B0x249
0x1760V0xe65V0x249	0x1768B0xe65B0x249
0x1764V0xe65V0x249	0x1729B0xe65B0x249
0x1753V0xe65V0x249	0x175dB0xe65B0x249
0x1cf0V0xf0fV0x249	0x1cf8B0xf0fB0x249
0x1cf4V0xf0fV0x249	0x1cbfB0xf0fB0x249
0x1cceV0xf0fV0x249	0x1cd6B0xf0fB0x249
0x1cd2V0xf0fV0x249	0x1c97B0xf0fB0x249
0x1cc1V0xf0fV0x249	0x1ccbB0xf0fB0x249
0x1d58V0x1048V0x249	0x1d60B0x1048B0x249
0x1d5cV0x1048V0x249	0x1d27B0x1048B0x249
0x1d36V0x1048V0x249	0x1d3eB0x1048B0x249
0x1d3aV0x1048V0x249	0x1cffB0x1048B0x249
0x1d29V0x1048V0x249	0x1d33B0x1048B0x249
0x17cfV0xe9fV0x249	0x17d9B0xe9fB0x249
0x17d5V0xe9fV0x249	0x17a9B0xe9fB0x249
0x17b7V0xe9fV0x249	0x17c1B0xe9fB0x249
0x17abV0xe9fV0x249	0x17b4B0xe9fB0x249
0x17b0V0xe9fV0x249	0x1791B0xe9fB0x249
0x152dV0xf49V0x249	0x1538B0xf49B0x249
0x1517V0x1525V0xf49V0x249	0x151fB0x1525B0xf49B0x249
0x11b0V0x1516V0x1525V0xf49V0x249	0x11b8B0x1516B0x1525B0xf49B0x249
0x11b4V0x1516V0x1525V0xf49V0x249	0x118fB0x1516B0x1525B0xf49B0x249
0x19d7V0xf9eV0x249	0x3edaB0xf9eB0x249
0x19d0V0xf9eV0x249	0x19dcB0xf9eB0x249
0x19deV0xf9eV0x249	0x19e9B0xf9eB0x249
0x19b9V0x19dcV0xf9eV0x249	0x19c1B0x19dcB0xf9eB0x249
