0xa	0xa2
0x1f5dV0x37dfV0x27f	0x8c540x1f42B0x37dfB0x27f
0x1f01V0x38a9V0x27f	0x8b70B0x38a9B0x27f
0x33c5V0x385aV0x27f	0x932cB0x385aB0x27f
0x33c5V0x386bV0x27f	0x932cB0x386bB0x27f
0x1f3aV0x3875V0x27f	0x8c08B0x3875B0x27f
0x33d4V0x3882V0x27f	0x9378B0x3882B0x27f
0x33d4V0x3897V0x27f	0x9378B0x3897B0x27f
0x1f5dV0x37fcV0x27f	0x8c540x1f42B0x37fcB0x27f
0x2ccaV0x3770V0x27f	0x91b6B0x3770B0x27f
0x2ccaV0x378bV0x27f	0x91b6B0x378bB0x27f
0x2527V0x298	0x252fB0x298
0x2531V0x298	0x253dB0x298
0x2547V0x298	0x8fa8B0x298
0x1f5dV0x252fV0x298	0x8c540x1f42B0x252fB0x298
0x1f71V0x2523V0x298	0x8ca0B0x2523B0x298
0x2f8dV0x494	0x3210B0x494
0x2fe4V0x494	0x30bdB0x494
0x3020V0x494	0x30cbB0x494
0x318eV0x494	0x3196B0x494
0x31b7V0x494	0x2f17B0x494
0x2ed0V0x494	0x2edcB0x494
0x2edeV0x494	0x2eebB0x494
0x2ef5V0x494	0x2efdB0x494
0x2f08V0x494	0x2f13B0x494
0x2f36V0x494	0x9225B0x494
0x2f7dV0x494	0x3224B0x494
0x322eV0x494	0x3245B0x494
0x3220V0x494	0x2f91B0x494
0x138efV0x494	0x2fddB0x494
0x30ccV0x494	0x3157B0x494
0x3189V0x494	0x31e3B0x494
0x31e4V0x494	0x31aeB0x494
0x3198V0x494	0x31a4B0x494
0x2f1bV0x494	0x2f2aB0x494
0x31b0V0x494	0x31bbB0x494
0x3255V0x494	0x3232B0x494
0x13945V0x494	0x2fddB0x494
0x2fe0V0x494	0x31e8B0x494
0x2f3dV0x494	0x2f75B0x494
0x2099V0x2eceV0x494	0x8dbeB0x2eceB0x494
0x20a9V0x2eceV0x494	0x8de1B0x2eceB0x494
0x2086V0x2eceV0x494	0x8d9bB0x2eceB0x494
0x2099V0x2edcV0x494	0x8dbeB0x2edcB0x494
0x20a9V0x2edcV0x494	0x8de1B0x2edcB0x494
0x2086V0x2edcV0x494	0x8d9bB0x2edcB0x494
0x205dV0x2eebV0x494	0x8d55B0x2eebB0x494
0x205dV0x2efdV0x494	0x8d55B0x2efdB0x494
