0xb38	0xb39
0xb39	0xb3a
0xb3a	0xb3d
0xb3d	0xb3e
0xb3f	0xb42
0xb42	0xb43
0xb43	0xb44
0xb44	0xb47
0xb47	0xb48
0xb49	0xb4c
0xb4c	0xb4d
0xb4d	0xb4e
0xb4e	0xb51
0xb51	0xb52
0xb53	0xb56
0xb56	0xb57
0xb57	0xb58
0xb58	0xb5b
0xb5b	0xb5c
0xb5d	0xb60
0xb60	0xb61
0xb61	0xb62
0xb62	0xb65
0xb65	0xb66
0xb67	0xb6b
0xb6b	0xb6c
0xb6c	0xb6d
0xb6d	0xb71
0xb71	0xb72
0xb73	0xb77
0xb77	0xb78
0xb78	0xb79
0xb79	0xb7d
0xb7d	0xb7e
0xb7f	0xb80
0xb80	0xb82
0xb82	0xb83
0xb86	0xba7
0xba7	0xba9
0xba9	0xbab
0xbab	0xbad
0xbad	0xbae
0xbae	0xbaf
0xbaf	0xbb0
0xbb0	0xbb4
0xbb4	0xbb5
0xbb6	0xbba
0xbba	0xbbb
0xbbb	0xbbf
0xbc0	0xbc4
0xbc4	0xbc6
0xbc6	0xbca
0xbca	0xbcd
0xbd0	0xbd1
0xbd1	0xbf2
0xbf2	0xbf3
0xbf3	0xbf7
0xbf7	0xbf8
0xbfb	0xbfc
0xbfc	0xbfe
0xbfe	0xbff
0xbff	0xc00
0xc00	0xc04
0xc04	0xc05
0xc06	0xc08
0xc08	0xc0a
0xc0a	0xc0e
0xc0e	0xc11
0xc16	0xc17
0xc17	0xc19
0xc19	0xc1a
0xc1a	0xc1b
0xc1b	0xc1f
0xc1f	0xc20
0xc21	0xc25
0xc25	0xc28
0xc2a	0xc2c
0xc2c	0xc4d
0xc4d	0xc4f
0xc4f	0xc51
0xc51	0xc53
0xc53	0xc54
0xc54	0xc55
0xc55	0xc58
0xc58	0xc59
0xc59	0xc5c
0xc5c	0xc5e
0xc5e	0xc61
0xc61	0xc62
0xc62	0xc65
0xc66	0xc68
0xc68	0xc6b
0xc6e	0xc70
0xc70	0xc71
0xc71	0xc73
0xc73	0xc74
0xc74	0xc75
0xc75	0xc76
0xc76	0xc79
0xc7a	0xc7c
0xc7c	0xc7e
0xc7e	0xc7f
0xc7f	0xca1
0xca4	0xca6
0xca6	0xca8
0xca8	0xca9
0xca9	0xccb
0xccc	0xcce
0xcce	0xcd1
0xcd1	0xcd2
0xcd3	0xcd5
0xcd5	0xcd8
0xcd8	0xcd9
0xcda	0xcfb
0xcfb	0xcfe
0xcfe	0xcff
0xd04	0xd07
0xd07	0xd08
0xd08	0xd0a
0xd0a	0xd0b
0xd0b	0xd0e
0xd11	0xd14
0xd14	0xd18
0xd18	0xd1b
0xd1e	0xd1f
0xd1f	0xd20
0xd20	0xd21
0xd21	0xd24
0xd25	0xd27
0xd27	0xd2a
0xd2c	0xd2f
0xd2f	0xd32
0xd34	0xd35
0xd35	0xd38
0xd38	0xd39
0xd39	0xd3b
0xd3b	0xd3e
0xd3e	0xd40
0xd40	0xd42
0xd42	0xd43
0xd43	0xd44
0xd44	0xd45
0xd45	0xd46
0xd46	0xd4a
0xd4a	0xd4b
0xd4b	0xd4c
0xd4c	0xd4f
0xd4f	0xd52
0xd52	0xd55
0xd55	0xd59
0xd59	0xd5d
0xd5d	0xd5e
0xd5e	0xd61
0xd61	0xd62
0xd62	0xd63
0xd63	0xd65
0xd65	0xd66
0xd66	0xd68
0xd68	0xd69
0xd69	0xd6a
0xd6a	0xd6c
0xd6c	0xd6d
0xd6d	0xd6e
0xd6e	0xd71
0xd73	0xd74
0xd74	0xd77
0xd78	0xd79
0xd79	0xd7b
0xd7b	0xd7e
0xd83	0xd86
0xdc2	0xdc6
0xdc6	0xdc7
0xdc7	0xdc9
0xdc9	0xdca
0xdca	0xdcb
0xdcb	0xdce
0xdd3	0xddf
0xddf	0xde2
0xdec	0xded
0xded	0xdee
0xdee	0xdf1
0xdf6	0xdfa
0xdfa	0xdfd
0xdff	0xe00
0xe00	0xe02
0xe02	0xe05
0xe05	0xe09
0xe09	0xe0a
0xe0a	0xe0d
0xe0e	0xe13
0xe13	0xe16
0xe18	0xe19
0xe19	0xe1a
0xe1a	0xe1b
0xe1b	0xe1e
0xe1f	0xe21
0xe21	0xe23
0xe23	0xe25
0xe25	0xe26
0xe26	0xe27
0xe27	0xe29
0xe29	0xe30
0xe30	0xe36
0xe36	0xe39
0xe3b	0xe3c
0xe3c	0xe3d
0xe3d	0xe3e
0xe3e	0xe40
0xe40	0xe43
0xe45	0xe46
0xe46	0xe47
0xe47	0xe48
0xe48	0xe49
0xe49	0xe4a
0xe4a	0xe4d
0xe4e	0xe4f
0xe4f	0xe5a
0xe5a	0xe5b
0xe5b	0xe5c
0xe5c	0xe5f
0xe62	0xe66
0xe66	0xe68
0xe68	0xe6a
0xe6a	0xe6c
0xe6c	0xe6d
0xe6d	0xe6f
0xe6f	0xe72
0xe8f	0xe90
0xe90	0xe92
0xe92	0xe95
0xe97	0xe98
0xe98	0xe99
0xe99	0xe9a
0xe9a	0xe9c
0xe9c	0xe9e
0xe9e	0xea0
0xea0	0xea2
0xea3	0xea4
0xea4	0xea6
0xea7	0xea8
0xea8	0xeaa
0xeaa	0xeab
0xeab	0xead
0xeae	0xebf
0xebf	0xec1
0xec2	0xec4
0xec4	0xec5
0xec5	0xec7
0xec7	0xecb
0xecb	0xecc
0xecc	0xece
0xece	0xed0
0xed0	0xed1
0xed1	0xed2
0xed2	0xed3
0xed3	0xed4
0xed4	0xed5
0xed5	0xed8
0xedb	0xedc
0xedc	0xede
0xedf	0xee1
0xee2	0xee6
0xee6	0xee8
0xee8	0xeea
0xeea	0xeec
0xeec	0xeed
0xeed	0xeee
0xeee	0xf0f
0xf0f	0xf11
0xf11	0xf14
0xf17	0xf18
0xf18	0xf1b
0xf1d	0xf1e
0xf1e	0xf21
0xf22	0xf24
0xf24	0xf26
0xf26	0xf2a
0xf2a	0xf2d
0xf2d	0xf2e
0xf2e	0xf38
0xf38	0xf39
0xf39	0xf3a
0xf3a	0xf3d
0xf3e	0xf40
0xf41	0xf43
0xf43	0xf45
0xf46	0xf49
0xf49	0xf4c
0xf4d	0xf50
0xf50	0xf52
0xf52	0xf54
0xf55	0xf57
0xf57	0xf59
0xf59	0xf5b
0xf5b	0xf5c
0xf5c	0xf5d
0xf5d	0xf60
0xf60	0xf62
0xf62	0xf64
0xf65	0xf68
0xf68	0xf6b
0xf6c	0xf6f
0xf6f	0xf72
0xf73	0xf76
0xf76	0xf79
0xf7a	0xf7d
0xf7d	0xf7f
0xf7f	0xf81
0xf81	0xf83
0xf83	0xf84
0xf84	0xf85
0xf85	0xf87
0xf88	0xf8a
0xf8a	0xf8b
0xf8b	0xf8f
0xf8f	0xf90
0xf92	0xf96
0xf96	0xf97
0xf99	0xf9d
0xf9d	0xf9e
0xf9f	0xfa3
0xfa3	0xfa4
0xfa5	0xfa7
0xfa7	0xfa9
0xfa9	0xfab
0xfab	0xfac
0xfac	0xfad
0xfad	0xfce
0xfce	0xfcf
0xfcf	0xfd0
0xfd0	0xfd1
0xfd1	0xfd4
0xfd5	0xfd7
0xfd7	0xfdb
0xfdb	0xffd
0xffe	0x1001
0x1001	0x1002
0x1002	0x1005
0x1007	0x1008
0x1008	0x100b
0x100b	0x100c
0x100d	0x100e
0x100e	0x1011
0x1011	0x1012
0x1013	0x1014
0x1014	0x1017
0x1017	0x1018
0x1019	0x101a
0x101a	0x101d
0x101d	0x101e
0x101f	0x1020
0x1020	0x1023
0x1023	0x1024
0x1025	0x1026
0x1026	0x102a
0x102a	0x102b
0x102c	0x102d
0x102d	0x1031
0x1031	0x1032
0x1033	0x1034
0x1034	0x1038
0x1038	0x1039
0x103a	0x103e
0x103e	0x103f
0x103f	0x1040
0x1040	0x1044
0x1044	0x1045
0x1046	0x104a
0x104a	0x104b
0x104b	0x104c
0x104c	0x1051
0x1051	0x1052
0x1052	0x1056
0x1056	0x1057
0x1058	0x105c
0x105c	0x105d
0x105d	0x105e
0x105e	0x1063
0x1063	0x1064
0x1064	0x1068
0x1068	0x1069
0x106a	0x106d
0x106d	0x106e
0x106e	0x106f
0x106f	0x1073
0x1073	0x1074
0x1074	0x1078
0x1079	0x107d
0x107d	0x107e
0x107e	0x1082
0x1082	0x1085
0x1088	0x108b
0x108b	0x108c
0x108d	0x1090
0x1090	0x1091
0x1092	0x1094
0x1094	0x10b5
0x10b5	0x10b7
0x10b7	0x10b9
0x10b9	0x10bb
0x10bb	0x10bc
0x10bc	0x10bd
0x10bd	0x10c0
0x10c0	0x10c1
0x10c1	0x10c5
0x10c5	0x10c8
0x10c8	0x10c9
0x10c9	0x10cc
0x10cd	0x10d0
0x10d0	0x10d3
0x10d6	0x10d7
0x10d7	0x10da
0x10dc	0x10dd
0x10dd	0x10e1
0x10e1	0x10e4
0x10e7	0x10ea
0x1119	0x113a
0x113a	0x113b
0x113c	0x113e
0x113e	0x113f
0x1141	0x1162
0x1162	0x1163
0x1164	0x1166
0x1166	0x1167
0x1169	0x116b
0x116b	0x116c
0x116c	0x116d
0x116d	0x116e
0x116e	0x116f
0x116f	0x1170
0x1170	0x1173
0x1174	0x1175
0x1175	0x1178
0x117a	0x117f
0x117f	0x1180
0x1181	0x1183
0x1183	0x1185
0x1189	0x118b
0x118b	0x118d
0x118d	0x118f
0x118f	0x1190
0x1190	0x1195
0x1195	0x1199
0x1199	0x119c
0x119c	0x119f
0x119f	0x11a1
0x11a1	0x11a3
0x11a3	0x11a4
0x11a4	0x11a5
0x11a5	0x11a8
0x11aa	0x11ad
0x11ad	0x11b0
0x11b0	0x11b2
0x11b2	0x11b3
0x11b3	0x11b4
0x11b4	0x11b6
0x11b6	0x11b7
0x11b7	0x11b9
0x11b9	0x11ba
0x11ba	0x11bd
0x11c0	0x11c2
0x11c2	0x11c3
0x11c3	0x11c5
0x11c5	0x11c6
0x11c6	0x11c7
0x11c7	0x11ca
0x11cd	0x11d4
0x11d4	0x11d7
0x1202	0x1203
0x1203	0x120a
0x120a	0x120c
0x120c	0x120d
0x120d	0x1210
0x1212	0x1216
0x1216	0x1218
0x1218	0x121a
0x121a	0x121c
0x121c	0x121d
0x121d	0x121f
