family_id,n,pos,seq_advantage
F01003,1,0,-0.11438356164383562
F01208,1,0,-0.11575342465753424
F00179,1,1,-0.11621004566210036
F00153,1,1,-0.11780821917808215
F00018,6,4,-0.11940639269406393
F00030,3,3,-0.12009132420091317
F01131,1,0,-0.12168949771689497
F00937,1,0,-0.12625570776255707
F00568,1,0,-0.1267123287671233
F00159,1,1,-0.1278538812785388
F00777,2,0,-0.1278538812785388
F00953,1,0,-0.13036529680365294
F00104,2,2,-0.13059360730593605
F01181,1,0,-0.13493150684931504
F00125,1,1,-0.1367579908675799
F00707,11,0,-0.13783727687837277
F01210,3,0,-0.13812785388127855
F00908,3,0,-0.1384322678843227
F01059,1,0,-0.13858447488584474
F00927,1,0,-0.14086757990867582
F01311,1,0,-0.141324200913242
F01140,1,0,-0.14178082191780822
F00043,6,4,-0.14337899543378993
F01048,1,0,-0.14452054794520547
F00171,1,1,-0.14520547945205475
F00836,1,0,-0.1458904109589041
F01057,1,0,-0.14863013698630134
F00139,1,1,-0.14931506849315068
F00086,1,1,-0.1497716894977169
F01139,2,0,-0.15114155251141553
F01009,1,0,-0.15136986301369865
F00056,8,8,-0.1521689497716895
F00673,9,0,-0.15263825469304923
F00731,2,0,-0.15273972602739727
F00947,1,0,-0.15273972602739727
F00819,2,0,-0.15365296803652967
F00784,3,0,-0.15669710806697107
F01070,1,0,-0.15730593607305937
F01173,1,0,-0.15776255707762554
F01327,2,0,-0.15844748858447488
F00155,1,1,-0.158675799086758
F00951,1,0,-0.1595890410958904
F01166,1,0,-0.16004566210045662
F01320,1,0,-0.16050228310502285
F01089,1,0,-0.16095890410958902
F00726,1,0,-0.16141552511415524
F00997,1,0,-0.16187214611872147
F00111,1,1,-0.16187214611872147
F00176,1,1,-0.16210045662100458
F00173,1,1,-0.16278538812785381
F00146,1,1,-0.16369863013698638
F00200,1,1,-0.16392694063926938
F00212,1,1,-0.16484018264840183
F00861,5,0,-0.1650684931506849
F01178,1,0,-0.16643835616438357
F00786,2,0,-0.16712328767123286
F00070,2,2,-0.16780821917808214
F00926,1,0,-0.1678082191780822
F01318,1,0,-0.1687214611872146
F01149,1,0,-0.16917808219178082
F00973,1,0,-0.16963470319634705
F01255,2,0,-0.17009132420091325
F00808,2,0,-0.17123287671232876
F00130,3,3,-0.17298325722983263
F00079,2,2,-0.17305936073059358
F01317,3,0,-0.1732876712328767
F00909,2,0,-0.1735159817351598
F01315,2,0,-0.17420091324200912
F00961,1,0,-0.17420091324200915
F00921,3,0,-0.17511415525114157
F00061,15,12,-0.17529680365296807
F00960,1,0,-0.17602739726027394
F01058,1,0,-0.1778538812785388
F00780,1,0,-0.17876712328767125
F01130,1,0,-0.17922374429223742
F00900,1,0,-0.17968036529680365
F01027,1,0,-0.1815068493150685
F00021,1,1,-0.18173515981735155
F01109,1,0,-0.18196347031963472
F00775,4,0,-0.18344748858447488
F00756,3,0,-0.1837899543378995
F00102,1,1,-0.18561643835616437
F01037,1,0,-0.186986301369863
F00762,1,0,-0.18744292237442922
F00933,1,0,-0.18835616438356162
F01113,1,0,-0.19200913242009132
F01218,1,0,-0.19246575342465755
F00914,1,0,-0.19292237442922372
F01278,1,0,-0.19383561643835617
F00705,9,0,-0.19403855910705226
F00141,1,1,-0.1970319634703196
F00065,1,1,-0.19840182648401827
F01107,2,0,-0.2009132420091324
F00945,2,0,-0.20365296803652966
F00814,1,0,-0.204337899543379
F00807,1,0,-0.20570776255707762
F01272,1,0,-0.20616438356164385
F01219,1,0,-0.20662100456621002
F00967,1,0,-0.20753424657534247
F00747,1,0,-0.2089041095890411
F01238,1,0,-0.20936073059360732
F00003,11,11,-0.21216272312162723
F01167,2,0,-0.21324200913242009
F00165,1,1,-0.2155251141552511
