task,model,seed,fold,threshold,splitter,split,selected_C,inner_selection_AUPRC
primary,abl_full_773,7703,3,0.1754613071680069,StratifiedGroupKFold,family,,
primary,abl_full_773,7703,4,0.182331383228302,StratifiedGroupKFold,family,,
primary,abl_full_773,7704,0,0.3321017622947693,StratifiedGroupKFold,family,,
primary,abl_full_773,7704,1,0.10480146110057831,StratifiedGroupKFold,family,,
primary,abl_full_773,7704,2,0.11989990621805191,StratifiedGroupKFold,family,,
primary,abl_full_773,7704,3,0.23551127314567566,StratifiedGroupKFold,family,,
primary,abl_full_773,7704,4,0.19352063536643982,StratifiedGroupKFold,family,,
primary,abl_full_773,7705,0,0.14036308228969574,StratifiedGroupKFold,family,,
primary,abl_full_773,7705,1,0.4035041034221649,StratifiedGroupKFold,family,,
primary,abl_full_773,7705,2,0.09336727857589722,StratifiedGroupKFold,family,,
primary,abl_full_773,7705,3,0.0704803317785263,StratifiedGroupKFold,family,,
primary,abl_full_773,7705,4,0.12060947716236115,StratifiedGroupKFold,family,,
primary,abl_full_773,7706,0,0.11959339678287506,StratifiedGroupKFold,family,,
primary,abl_full_773,7706,1,0.37347710132598877,StratifiedGroupKFold,family,,
primary,abl_full_773,7706,2,0.26149389147758484,StratifiedGroupKFold,family,,
primary,abl_full_773,7706,3,0.14639464020729065,StratifiedGroupKFold,family,,
primary,abl_full_773,7706,4,0.3006567060947418,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7702,0,0.16633114218711853,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7702,1,0.2636867165565491,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7702,2,0.09601280093193054,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7702,3,0.09641702473163605,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7702,4,0.05178206413984299,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7703,0,0.17311982810497284,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7703,1,0.45896676182746887,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7703,2,0.06703132390975952,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7703,3,0.13141371309757233,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7703,4,0.2503272593021393,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7704,0,0.23637616634368896,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7704,1,0.065961092710495,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7704,2,0.16690996289253235,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7704,3,0.11811234802007675,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7704,4,0.29898256063461304,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7705,0,0.18435752391815186,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7705,1,0.39741232991218567,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7705,2,0.22013941407203674,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7705,3,0.1354523003101349,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7705,4,0.16846665740013123,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7706,0,0.26183369755744934,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7706,1,0.12050095945596695,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7706,2,0.19473896920681,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7706,3,0.1589488387107849,StratifiedGroupKFold,family,,
primary,abl_no_selectors,7706,4,0.21988104283809662,StratifiedGroupKFold,family,,
primary,abl_no_length,7702,0,0.30098259449005127,StratifiedGroupKFold,family,,
primary,abl_no_length,7702,1,0.062229905277490616,StratifiedGroupKFold,family,,
primary,abl_no_length,7702,2,0.14784859120845795,StratifiedGroupKFold,family,,
primary,abl_no_length,7702,3,0.15113165974617004,StratifiedGroupKFold,family,,
primary,abl_no_length,7702,4,0.054951466619968414,StratifiedGroupKFold,family,,
primary,abl_no_length,7703,0,0.15899856388568878,StratifiedGroupKFold,family,,
primary,abl_no_length,7703,1,0.24646078050136566,StratifiedGroupKFold,family,,
primary,abl_no_length,7703,2,0.07693774998188019,StratifiedGroupKFold,family,,
primary,abl_no_length,7703,3,0.374490886926651,StratifiedGroupKFold,family,,
primary,abl_no_length,7703,4,0.233572319149971,StratifiedGroupKFold,family,,
primary,abl_no_length,7704,0,0.0876387506723404,StratifiedGroupKFold,family,,
primary,abl_no_length,7704,1,0.10849341005086899,StratifiedGroupKFold,family,,
primary,abl_no_length,7704,2,0.08562999963760376,StratifiedGroupKFold,family,,
primary,abl_no_length,7704,3,0.27191561460494995,StratifiedGroupKFold,family,,
primary,abl_no_length,7704,4,0.35695213079452515,StratifiedGroupKFold,family,,
primary,abl_no_length,7705,0,0.11570969969034195,StratifiedGroupKFold,family,,
primary,abl_no_length,7705,1,0.21369129419326782,StratifiedGroupKFold,family,,
primary,abl_no_length,7705,2,0.11973532289266586,StratifiedGroupKFold,family,,
primary,abl_no_length,7705,3,0.06692187488079071,StratifiedGroupKFold,family,,
primary,abl_no_length,7705,4,0.14394499361515045,StratifiedGroupKFold,family,,
primary,abl_no_length,7706,0,0.10817694664001465,StratifiedGroupKFold,family,,
primary,abl_no_length,7706,1,0.40432798862457275,StratifiedGroupKFold,family,,
primary,abl_no_length,7706,2,0.06924818456172943,StratifiedGroupKFold,family,,
primary,abl_no_length,7706,3,0.1292315423488617,StratifiedGroupKFold,family,,
primary,abl_no_length,7706,4,0.2306395322084427,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7702,0,0.15851670503616333,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7702,1,0.33015820384025574,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7702,2,0.06476438045501709,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7702,3,0.155107319355011,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7702,4,0.044736143201589584,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7703,0,0.1745028793811798,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7703,1,0.2305651158094406,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7703,2,0.0929584875702858,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7703,3,0.34651970863342285,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7703,4,0.15908820927143097,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7704,0,0.18250197172164917,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7704,1,0.13569070398807526,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7704,2,0.1428317278623581,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7704,3,0.2001769095659256,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7704,4,0.3611885905265808,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7705,0,0.21670746803283691,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7705,1,0.349552184343338,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7705,2,0.07628587633371353,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7705,3,0.08394446969032288,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7705,4,0.1821410357952118,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7706,0,0.17673859000205994,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7706,1,0.18159881234169006,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7706,2,0.1952633559703827,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7706,3,0.11769532412290573,StratifiedGroupKFold,family,,
primary,abl_no_metadata,7706,4,0.16261552274227142,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7702,0,0.31008416414260864,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7702,1,0.1951698362827301,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7702,2,0.08967004716396332,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7702,3,0.25027331709861755,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7702,4,0.055436912924051285,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7703,0,0.1982957273721695,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7703,1,0.40721872448921204,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7703,2,0.08678127825260162,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7703,3,0.19763250648975372,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7703,4,0.19028066098690033,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7704,0,0.20577207207679749,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7704,1,0.08228015899658203,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7704,2,0.16118428111076355,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7704,3,0.16297252476215363,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7704,4,0.26466888189315796,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7705,0,0.1290217638015747,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7705,1,0.34044745564460754,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7705,2,0.11501261591911316,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7705,3,0.1975170224905014,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7705,4,0.15919092297554016,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7706,0,0.1939374804496765,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7706,1,0.35593706369400024,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7706,2,0.292074054479599,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7706,3,0.17916133999824524,StratifiedGroupKFold,family,,
primary,abl_no_length_metadata,7706,4,0.22905300557613373,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7702,0,0.14436979591846466,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7702,1,0.13409925997257233,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7702,2,0.19246818125247955,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7702,3,0.054200511425733566,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7702,4,0.043442074209451675,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7703,0,0.2169191986322403,StratifiedGroupKFold,family,,
first_stop_primary,first_stop_full_773,7703,1,0.1360808163881302,StratifiedGroupKFold,family,,
