theta,tag,seed,fold,model,n_test,n_positive,n_negative,n_test_families,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold,positive_rate
0.9,theta090,7702,3,emulator_logreg,443,131,312,185,0.896657166842683,0.9683034840477588,0.0602545118951387,0.8465080064698751,0.7786259541984732,0.0448717948717948,0.2957110609480812
0.9,theta090,7702,4,authguard_seq,404,135,269,181,0.955386436058065,0.9719124328789756,0.0486715700863475,0.0350988217643674,0.9629629629629628,0.0855018587360594,0.3341584158415842
0.9,theta090,7702,4,emulator_logreg,404,135,269,181,0.8657613594003678,0.9429436871816054,0.0792816829139131,0.7877269281355248,0.6518518518518519,0.0892193308550185,0.3341584158415842
0.9,theta090,7703,0,authguard_seq,431,130,301,187,0.984059463006842,0.9933938154868388,0.0349354881837425,0.3698602067442965,0.9384615384615383,0.0465116279069767,0.3016241299303944
0.9,theta090,7703,0,emulator_logreg,431,130,301,187,0.9188606103170596,0.972885254280603,0.0425748379403509,0.7103429007723083,0.9846153846153848,0.0531561461794019,0.3016241299303944
0.9,theta090,7703,1,authguard_seq,458,157,301,187,0.9833995120067374,0.9936517341346256,0.0264050160219367,0.2459188264428957,0.9936305732484076,0.0631229235880398,0.3427947598253275
0.9,theta090,7703,1,emulator_logreg,458,157,301,187,0.9270873979036512,0.9729352265272868,0.0387418280090207,0.7929441047964202,0.8407643312101911,0.0498338870431893,0.3427947598253275
0.9,theta090,7703,2,authguard_seq,454,174,280,188,0.9725381918221048,0.9852114121510672,0.1410632024027825,0.5718877825366904,0.5517241379310345,0.0142857142857142,0.3832599118942731
0.9,theta090,7703,2,emulator_logreg,454,174,280,188,0.9622798654521144,0.9803674055829228,0.0620132513230644,0.8212519634160353,0.6551724137931034,0.0071428571428571,0.3832599118942731
0.9,theta090,7703,3,authguard_seq,443,131,312,185,0.9407205362067964,0.9794480328831474,0.0486824299319496,0.3359135372696296,0.9618320610687024,0.0801282051282051,0.2957110609480812
0.9,theta090,7703,3,emulator_logreg,443,131,312,185,0.896657166842683,0.9683034840477588,0.0602545118951387,0.8465080064698751,0.7786259541984732,0.0448717948717948,0.2957110609480812
0.9,theta090,7703,4,authguard_seq,404,135,269,181,0.9491717221906396,0.96728624535316,0.0741706369841582,0.0464027868615073,0.9629629629629628,0.0780669144981412,0.3341584158415842
0.9,theta090,7703,4,emulator_logreg,404,135,269,181,0.8657613594003678,0.9429436871816054,0.0792816829139131,0.7877269281355248,0.6518518518518519,0.0892193308550185,0.3341584158415842
0.9,theta090,7704,0,authguard_seq,431,130,301,187,0.9805683146235727,0.9933171479683108,0.0266938361709974,0.1206267522494561,0.9692307692307692,0.0465116279069767,0.3016241299303944
0.9,theta090,7704,0,emulator_logreg,431,130,301,187,0.9188606103170596,0.972885254280603,0.0425748379403509,0.7103429007723083,0.9846153846153848,0.0531561461794019,0.3016241299303944
0.9,theta090,7704,1,authguard_seq,458,157,301,187,0.9612987082844346,0.9869437332035466,0.0597008223222694,0.2846121853725116,0.9554140127388536,0.0498338870431893,0.3427947598253275
0.9,theta090,7704,1,emulator_logreg,458,157,301,187,0.9270873979036512,0.9729352265272868,0.0387418280090207,0.7929441047964202,0.8407643312101911,0.0498338870431893,0.3427947598253275
0.9,theta090,7704,2,authguard_seq,454,174,280,188,0.9543880886499686,0.9743021346469622,0.08601129136386,0.8467593704764559,0.5402298850574713,0.0178571428571428,0.3832599118942731
0.9,theta090,7704,2,emulator_logreg,454,174,280,188,0.9622798654521144,0.9803674055829228,0.0620132513230644,0.8212519634160353,0.6551724137931034,0.0071428571428571,0.3832599118942731
0.9,theta090,7704,3,authguard_seq,443,131,312,185,0.8907066527039916,0.9784693677823448,0.0394472713718277,0.3486506877640142,0.9465648854961832,0.0512820512820512,0.2957110609480812
0.9,theta090,7704,3,emulator_logreg,443,131,312,185,0.896657166842683,0.9683034840477588,0.0602545118951387,0.8465080064698751,0.7786259541984732,0.0448717948717948,0.2957110609480812
0.9,theta090,7704,4,authguard_seq,404,135,269,181,0.9544534599391208,0.9784937353710588,0.0367299566403037,0.0307254963553318,0.9629629629629628,0.0929368029739776,0.3341584158415842
0.9,theta090,7704,4,emulator_logreg,404,135,269,181,0.8657613594003678,0.9429436871816054,0.0792816829139131,0.7877269281355248,0.6518518518518519,0.0892193308550185,0.3341584158415842
