0x9	0xf6
0x2380V0x14efV0x32a	0x2368B0x14efB0x32a
0x2315V0x13f5V0x32a	0x231cB0x13f5B0x32a
0x2315V0x1427V0x32a	0x231cB0x1427B0x32a
0x2315V0x144fV0x32a	0x231cB0x144fB0x32a
0x2048V0x1461V0x32a	0x204fB0x1461B0x32a
0x2062V0x1461V0x32a	0x2069B0x1461B0x32a
0x2076V0x1461V0x32a	0x1bb71B0x1461B0x32a
0x202aV0x1407V0x32a	0x2031B0x1407B0x32a
0x2032V0x1407V0x32a	0x1bb4bB0x1407B0x32a
0x1c10V0x2031V0x1407V0x32a	0x1c17B0x2031B0x1407B0x32a
0x18b6V0x1660	0x18ebB0x1660
0x18eeV0x1660	0x18f8B0x1660
0x1901V0x1660	0x190cB0x1660
0x1908V0x1660	0x23e1B0x1660
0x2497V0x1660	0x24a7B0x1660
0x1dd4V0x23e1V0x1660	0x1de7B0x23e1B0x1660
0x1de3V0x23e1V0x1660	0x1dcfB0x23e1B0x1660
0x23caV0x18ebV0x1660	0x202a2B0x18ebB0x1660
0xda5V0x4a0	0x1706cB0x4a0
0xda5V0x8e4	0x1706cB0x8e4
0x1042V0x812	0x49f6B0x812
0x108fV0x812	0x109aB0x812
0x1096V0x812	0x4a29B0x812
0x10d1V0x812	0x4a5cB0x812
0x10f9V0x812	0x4a8fB0x812
0x1161V0x812	0x116aB0x812
0x11b9V0x812	0x4ac2B0x812
0x103bV0x812	0x1046B0x812
0x105cV0x812	0x1079B0x812
0x1073V0x812	0x1064B0x812
0x10a3V0x812	0x10acB0x812
0x10adV0x812	0x10baB0x812
0x10caV0x812	0x10d5B0x812
0x10deV0x812	0x10e7B0x812
0x10f2V0x812	0x10fdB0x812
0x1106V0x812	0x110fB0x812
0x1110V0x812	0x111dB0x812
0x1121V0x812	0x112bB0x812
0x1141V0x812	0x1165B0x812
0x1171V0x812	0x11aaB0x812
0x11b2V0x812	0x11bdB0x812
0x11ceV0x812	0x107eB0x812
0x1083V0x812	0x11d2B0x812
0x11a0V0x812	0xc380x102bB0x812
0x2315V0x109aV0x812	0x231cB0x109aB0x812
0x2315V0x10d5V0x812	0x231cB0x10d5B0x812
0x2315V0x10fdV0x812	0x231cB0x10fdB0x812
0x2048V0x110fV0x812	0x204fB0x110fB0x812
0x2062V0x110fV0x812	0x2069B0x110fB0x812
0x2076V0x110fV0x812	0x1bb71B0x110fB0x812
0x202aV0x10acV0x812	0x2031B0x10acB0x812
0x2032V0x10acV0x812	0x1bb4bB0x10acB0x812
0x1c10V0x2031V0x10acV0x812	0x1c17B0x2031B0x10acB0x812
0x2341V0x1175V0x812	0x1bbc0B0x1175B0x812
0x2025cV0x1175V0x812	0x20420B0x1175B0x812
0x1df6V0x2335V0x1175V0x812	0x1e06B0x2335B0x1175B0x812
0x1dd4V0x1defV0x2335V0x1175V0x812	0x1de7B0x1defB0x2335B0x1175B0x812
0x1de3V0x1defV0x2335V0x1175V0x812	0x1dcfB0x1defB0x2335B0x1175B0x812
0x17ecV0x130b0x99cB0x946	0x17f5B0x130b0x99cB0x946
0x17f8V0x130b0x99cB0x946	0x1b920B0x130b0x99cB0x946
0x1abeV0x17f5V0x130b0x99cB0x946	0xc380x1a7eB0x17f5B0x130b0x99cB0x946
0x1a84V0x17f5V0x130b0x99cB0x946	0x1ac2B0x17f5B0x130b0x99cB0x946
0x1ac7V0x17f5V0x130b0x99cB0x946	0x1afcB0x17f5B0x130b0x99cB0x946
0x1b0fV0x17f5V0x130b0x99cB0x946	0x1b1dB0x17f5B0x130b0x99cB0x946
0x1b28V0x17f5V0x130b0x99cB0x946	0x1b9eaB0x17f5B0x130b0x99cB0x946
0x18b6V0x17e9V0x130b0x99cB0x946	0x18ebB0x17e9B0x130b0x99cB0x946
0x18eeV0x17e9V0x130b0x99cB0x946	0x18f8B0x17e9B0x130b0x99cB0x946
0x1901V0x17e9V0x130b0x99cB0x946	0x190cB0x17e9B0x130b0x99cB0x946
